,model,scenario,region,variable,unit,year,value
138,West Bengal energy model,baseline,India,Primary Energy|Coal|Domestic,GWa,2015,23.857397079467773
139,West Bengal energy model,baseline,India,Primary Energy|Coal|Domestic,GWa,2020,21.33412742614746
140,West Bengal energy model,baseline,India,Primary Energy|Coal|Domestic,GWa,2025,27.372772216796875
141,West Bengal energy model,baseline,India,Primary Energy|Coal|Domestic,GWa,2030,37.36035919189453
142,West Bengal energy model,baseline,India,Primary Energy|Coal|Domestic,GWa,2035,47.15156173706055
143,West Bengal energy model,baseline,India,Primary Energy|Coal|Domestic,GWa,2040,65.3153305053711
144,West Bengal energy model,baseline,India,Primary Energy|Coal|Import,GWa,2015,20.006877899169922
145,West Bengal energy model,baseline,India,Primary Energy|Coal|Import,GWa,2020,9.411775588989258
146,West Bengal energy model,baseline,India,Primary Energy|Coal|Import,GWa,2025,4.427553653717041
147,West Bengal energy model,baseline,India,Primary Energy|Coal|Import,GWa,2030,2.08284068107605
148,West Bengal energy model,baseline,India,Primary Energy|Coal|Import,GWa,2035,0.9798245429992676
149,West Bengal energy model,baseline,India,Primary Energy|Coal|Import,GWa,2040,0.46093595027923584
150,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS,GWa,2015,0.0
151,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS,GWa,2020,0.0
152,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS,GWa,2025,0.0
153,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS,GWa,2030,0.0
154,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS,GWa,2035,0.0
155,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS,GWa,2040,0.0
156,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|coal_usc_ccs,GWa,2015,0.0
157,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|coal_usc_ccs,GWa,2020,0.0
158,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|coal_usc_ccs,GWa,2025,0.0
159,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|coal_usc_ccs,GWa,2030,0.0
160,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|coal_usc_ccs,GWa,2035,0.0
161,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|coal_usc_ccs,GWa,2040,0.0
162,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|igcc_ccs,GWa,2015,0.0
163,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|igcc_ccs,GWa,2020,0.0
164,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|igcc_ccs,GWa,2025,0.0
165,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|igcc_ccs,GWa,2030,0.0
166,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|igcc_ccs,GWa,2035,0.0
167,West Bengal energy model,baseline,India,Primary Energy|Coal|w/ CCS|igcc_ccs,GWa,2040,0.0
168,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS,GWa,2015,43.86427307128906
169,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS,GWa,2020,30.74590301513672
170,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS,GWa,2025,31.800325393676758
171,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS,GWa,2030,39.443199157714844
172,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS,GWa,2035,48.131385803222656
173,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS,GWa,2040,65.7762680053711
174,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl,GWa,2015,0.0
175,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl,GWa,2020,0.0
176,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl,GWa,2025,0.0
177,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl,GWa,2030,1.875
178,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl,GWa,2035,9.480971336364746
179,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl,GWa,2040,25.127756118774414
180,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl_sub,GWa,2015,22.882423400878906
181,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl_sub,GWa,2020,24.484848022460938
182,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl_sub,GWa,2025,24.442203521728516
183,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl_sub,GWa,2030,28.635242462158203
184,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl_sub,GWa,2035,28.635242462158203
185,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_ppl_sub,GWa,2040,28.635242462158203
186,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_usc,GWa,2015,0.0
187,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_usc,GWa,2020,0.0
188,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_usc,GWa,2025,0.0
189,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_usc,GWa,2030,0.0
190,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_usc,GWa,2035,0.0
191,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|coal_usc,GWa,2040,0.0
192,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|igcc,GWa,2015,0.0
193,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|igcc,GWa,2020,0.0
194,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|igcc,GWa,2025,0.0
195,West Bengal energy model,baseline,India,Primary Energy|Coal|w/o CCS|igcc,GWa,2030,0.0
